ア,a,
イ,i,
ウ,u,
エ,e,
オ,o,
ー,-,
カ,ka,
キ,ki,
ク,ku,
ケ,ke,
コ,ko,
ガ,ga,
ギ,gi,
グ,gu,
ゲ,ge,
ゴ,go,
サ,sa,
ス,su,
セ,se,
ソ,so,
ザ,za,
ズ,zu,
ゼ,ze,
ゾ,zo,
ジャ,ja/zya,
ジ,ji/zi,
ジュ,ju/zyu,
ジョ,jo/zyo,
タ,ta,
テ,te,
ト,to,
ダ,da,
デ,de,
ド,do,
ナ,na,
ニ,ni,
ヌ,nu,
ネ,ne,
ノ,no,
ハ,ha,
ヒ,hi,
ヘ,he,
ホ,ho,
バ,ba,
ビ,bi,
ブ,bu,
ベ,be,
ボ,bo,
パ,pa,
ピ,pi,
プ,pu,
ペ,pe,
ポ,po,
フ,fu,
マ,ma,
ミ,mi,
ム,mu,
メ,me,
モ,mo,
ヤ,ya,
ユ,yu,
ヨ,yo,
ラ,ra,
リ,ri,
ル,ru,
レ,re,
ロ,ro,
ワ,wa,
ヲ,o,
ン,n,
ツ,tsu/tu,
キャ,kya,
キュ,kyu,
キョ,kyo,
ギャ,gya,
ギュ,gyu,
ギョ,gyo,
シャ,sha/sya,
シ,shi/si,
シュ,shu/syu,
ショ,sho/syo,
チャ,cha/tya,
チ,chi/ti,
チュ,chu/tyu,
チョ,cho/tyo,
ニャ,nya,
ニュ,nyu,
ニョ,nyo,
ビャ,bya,
ビュ,byu,
ビョ,byo,
ピャ,pya,
ピュ,pyu,
ピョ,pyo,
ミャ,mya,
ミュ,myu,
ミョ,myo,
リャ,rya,
リュ,ryu,
リョ,ryo,
ヂ,ji/zi,
ヅ,zu,
ヂャ,ja,
ヂュ,ju,
ヂョ,jo,
